"filename", "language", "JavaScript", "HTML", "CSS", "YAML", "Properties", "JSON", "XML", "comment", "blank", "total"
"/home/michael/Desktop/fastlab-enigma/app/tests/store.test.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 5, 8, 44
"/home/michael/Desktop/fastlab-enigma/app/translations/de.json", "JSON", 0, 0, 0, 0, 0, 31, 0, 0, 1, 32
"/home/michael/Desktop/fastlab-enigma/app/translations/en.json", "JSON", 0, 0, 0, 0, 0, 31, 0, 0, 1, 32
"/home/michael/Desktop/fastlab-enigma/app/utils/ScrollToTop.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/home/michael/Desktop/fastlab-enigma/app/utils/awsLib.js", "JavaScript", 117, 0, 0, 0, 0, 0, 0, 13, 32, 162
"/home/michael/Desktop/fastlab-enigma/app/utils/checkStore.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 3, 2, 22
"/home/michael/Desktop/fastlab-enigma/app/utils/constants.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/michael/Desktop/fastlab-enigma/app/utils/history.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/michael/Desktop/fastlab-enigma/app/utils/injectReducer.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 7, 11, 46
"/home/michael/Desktop/fastlab-enigma/app/utils/injectSaga.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 12, 14, 62
"/home/michael/Desktop/fastlab-enigma/app/utils/loadable.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/home/michael/Desktop/fastlab-enigma/app/utils/reducerInjectors.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 1, 8, 35
"/home/michael/Desktop/fastlab-enigma/app/utils/request.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 22, 4, 45
"/home/michael/Desktop/fastlab-enigma/app/utils/sagaInjectors.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 5, 16, 92
"/home/michael/Desktop/fastlab-enigma/app/utils/tests/checkStore.test.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 3, 6, 34
"/home/michael/Desktop/fastlab-enigma/app/utils/tests/injectReducer.test.js", "JavaScript", 78, 0, 0, 0, 0, 0, 0, 4, 17, 99
"/home/michael/Desktop/fastlab-enigma/app/utils/tests/injectSaga.test.js", "JavaScript", 125, 0, 0, 0, 0, 0, 0, 4, 21, 150
"/home/michael/Desktop/fastlab-enigma/app/utils/tests/reducerInjectors.test.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 5, 25, 101
"/home/michael/Desktop/fastlab-enigma/app/utils/tests/request.test.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 7, 12, 81
"/home/michael/Desktop/fastlab-enigma/app/utils/tests/sagaInjectors.test.js", "JavaScript", 178, 0, 0, 0, 0, 0, 0, 3, 51, 232
"/home/michael/Desktop/fastlab-enigma/appveyor.yml", "YAML", 0, 0, 0, 19, 0, 0, 0, 17, 10, 46
"Total", "-", 8392, 16, 41, 19, 29, 62, 250, 490, 1550, 10849
